# Datafile created by QuickNXS 1.0.32
# Date: 2017-02-07 16:55:49
# Type: Specular
# Input file indices: 24600+24601+24602+24603
# Extracted states: ++
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth        number  File                                            
# 1      0   0   187.5   9        130     104      54      100       188   -0.002339  24550   /SNS/REF_M/IPTS-16455/data/REF_M_24550_histo.nxs
# 2      0   0   187.5   9        130.5   103      54      100       188   -0.002339  24551   /SNS/REF_M/IPTS-16455/data/REF_M_24551_histo.nxs
# 3      0   0   186.8   12       131     102      54      100       188   -0.002339  24552   /SNS/REF_M/IPTS-16455/data/REF_M_24552_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 20.7491   150   47   141.1   10       135    60       54      100       False        191   -0.261463  24600   1      /SNS/REF_M/IPTS-16455/data/REF_M_24600_histo.nxs
# 16.5959   142   49   139.5   10       135    60       54      100       False        191   -0.001396  24601   1      /SNS/REF_M/IPTS-16455/data/REF_M_24601_histo.nxs
# 12.0226   176   19   139.5   10       135    60       54      100       False        191   -0.001396  24602   2      /SNS/REF_M/IPTS-16455/data/REF_M_24602_histo.nxs
# 4.69894   176   11   139.5   10       135    60       54      100       False        191   0.561693   24603   3      /SNS/REF_M/IPTS-16455/data/REF_M_24603_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  10   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
7.668085e-03      	9.399949e-01      	7.155357e-02      	2.442623e-04      	4.565982e-03      
7.745152e-03      	1.088124e+00      	7.517695e-02      	2.467374e-04      	4.565982e-03      
7.823783e-03      	9.412888e-01      	6.795468e-02      	2.492635e-04      	4.565982e-03      
7.904027e-03      	9.986996e-01      	6.742944e-02      	2.518420e-04      	4.565982e-03      
7.985934e-03      	1.079171e+00      	6.795173e-02      	2.544747e-04      	4.565982e-03      
8.069555e-03      	9.963718e-01      	6.364183e-02      	2.571631e-04      	4.565982e-03      
8.154947e-03      	9.897706e-01      	6.188677e-02      	2.599094e-04      	4.565982e-03      
8.242167e-03      	9.767063e-01      	6.025151e-02      	2.627151e-04      	4.565982e-03      
8.331271e-03      	8.812608e-01      	5.643670e-02      	2.655823e-04      	4.565982e-03      
8.422324e-03      	9.427004e-01      	5.713458e-02      	2.685132e-04      	4.565982e-03      
8.515388e-03      	9.709822e-01      	5.711023e-02      	2.715096e-04      	4.565982e-03      
8.610531e-03      	9.204758e-01      	5.486562e-02      	2.745742e-04      	4.565982e-03      
8.707826e-03      	1.120451e+00      	5.973322e-02      	2.777090e-04      	4.565982e-03      
8.807343e-03      	1.013158e+00      	5.615979e-02      	2.809166e-04      	4.565982e-03      
8.909163e-03      	9.556910e-01      	5.387037e-02      	2.841995e-04      	4.565982e-03      
9.013363e-03      	1.015107e+00      	5.491691e-02      	2.875605e-04      	4.565982e-03      
9.120030e-03      	1.031816e+00      	5.486740e-02      	2.910023e-04      	4.565982e-03      
9.229252e-03      	1.003080e+00      	5.334462e-02      	2.945281e-04      	4.565982e-03      
